id,Serie,indice,y
1,1,1,601
2,1,2,604
3,1,3,620
4,1,4,626
5,1,5,641
6,1,6,642
7,1,7,645
8,1,8,655
9,1,9,682
10,1,10,678
11,1,11,692
12,1,12,707
13,1,13,736
14,1,14,753
15,1,15,763
16,1,16,775
17,1,17,775
18,1,18,783
19,1,19,794
20,1,20,813
21,1,21,823
22,1,22,826
23,1,23,829
24,1,24,831
25,1,25,830
26,1,26,838
27,1,27,854
28,1,28,872
29,1,29,882
30,1,30,903
31,1,31,919
32,1,32,937
33,1,33,927
34,1,34,962
35,1,35,975
36,1,36,995
37,1,37,1001
38,1,38,1013
39,1,39,1021
40,1,40,1028
41,1,41,1027
42,1,42,1048
43,1,43,1070
44,1,44,1095
45,1,45,1113
46,1,46,1143
47,1,47,1154
48,1,48,1173
49,1,49,1178
50,1,50,1183
51,1,51,1205
52,1,52,1208
53,1,53,1209
54,1,54,1223
55,1,55,1238
56,1,56,1245
57,1,57,1258
58,1,58,1278
59,1,59,1294
60,1,60,1314
61,1,61,1323
62,1,62,1336
63,1,63,1355
64,1,64,1377
65,1,65,1416
66,1,66,1430
67,1,67,1455
68,1,68,1480
69,1,69,1514
70,1,70,1545
71,1,71,1589
72,1,72,1634
73,1,73,1669
74,1,74,1715
75,1,75,1760
76,1,76,1812
77,1,77,1809
78,1,78,1828
79,1,79,1871
80,1,80,1892
81,1,81,1946
82,1,82,1983
83,1,83,2013
84,1,84,2045
85,1,85,2048
86,1,86,2097
87,1,87,2140
88,1,88,2171
89,1,89,2208
90,1,90,2272
91,1,91,2311
92,1,92,2349
93,1,93,2362
94,1,94,2442
95,1,95,2479
96,1,96,2528
97,2,1,302
98,2,2,262
99,2,3,218
100,2,4,175
101,2,5,100
102,2,6,77
103,2,7,43
104,2,8,47
105,2,9,49
106,2,10,69
107,2,11,152
108,2,12,205
109,2,13,246
110,2,14,294
111,2,15,242
112,2,16,181
113,2,17,107
114,2,18,56
115,2,19,49
116,2,20,47
117,2,21,47
118,2,22,71
119,2,23,151
120,2,24,244
121,2,25,280
122,2,26,230
123,2,27,185
124,2,28,148
125,2,29,98
126,2,30,61
127,2,31,46
128,2,32,45
129,2,33,55
130,2,34,48
131,2,35,115
132,2,36,185
133,2,37,276
134,2,38,220
135,2,39,181
136,2,40,151
137,2,41,83
138,2,42,55
139,2,43,49
140,2,44,42
141,2,45,46
142,2,46,74
143,2,47,103
144,2,48,200
145,2,49,237
146,2,50,247
147,2,51,215
148,2,52,182
149,2,53,80
150,2,54,46
151,2,55,65
152,2,56,40
153,2,57,44
154,2,58,63
155,2,59,85
156,2,60,185
157,2,61,247
158,2,62,231
159,2,63,167
160,2,64,117
161,2,65,79
162,2,66,45
163,2,67,40
164,2,68,38
165,2,69,41
166,2,70,69
167,2,71,152
168,2,72,232
169,2,73,282
170,2,74,255
171,2,75,161
172,2,76,107
173,2,77,53
174,2,78,40
175,2,79,39
176,2,80,34
177,3,1,0.71
178,3,2,1.47
179,3,3,1.61
180,3,4,2.97
181,3,5,3.58
182,3,6,0.94
183,3,7,0.68
184,3,8,0.32
185,3,9,-0.67
186,3,10,0.02
187,3,11,-2.56
188,3,12,-0.84
189,3,13,0.38
190,3,14,1.18
191,3,15,1.95
192,3,16,4.08
193,3,17,2.41
194,3,18,0.55
195,3,19,1.16
196,3,20,1.7
197,3,21,0.13
198,3,22,0.63
199,3,23,-2.19
200,3,24,-0.32
201,3,25,1.48
202,3,26,0.84
203,3,27,1.45
204,3,28,3
205,3,29,3.24
206,3,30,-0.62
207,3,31,0.35
208,3,32,3.26
209,3,33,-0.53
210,3,34,0.9
211,3,35,-1.31
212,3,36,-0.91
213,3,37,0.46
214,3,38,0.5
215,3,39,0.96
216,3,40,2.23
217,3,41,3.27
218,3,42,-1.95
219,3,43,0.65
220,3,44,3.05
221,3,45,0.23
222,3,46,-0.45
223,3,47,-1.78
224,3,48,-1.44
225,3,49,1.49
226,3,50,1.22
227,3,51,2.22
228,3,52,4.76
229,3,53,3.04
230,3,54,-2.39
231,3,55,0.89
232,3,56,3.33
233,3,57,-0.14
234,3,58,-0.47
235,3,59,-1.79
236,3,60,-0.49
237,3,61,0.58
238,3,62,2.11
239,3,63,0.69
240,3,64,3.81
241,3,65,3.32
242,3,66,-2.26
243,3,67,1.46
244,3,68,3.81
245,3,69,0.96
246,3,70,-0.03
247,3,71,0.5
248,3,72,-1.7
249,3,73,2.51
250,3,74,0.75
251,3,75,2.21
252,3,76,3.15
253,3,77,3.05
254,3,78,-2.36
255,4,1,0.5
256,4,2,2.65
257,4,3,0.97
258,4,4,2.4
259,4,5,0.16
260,4,6,0.47
261,4,7,1.55
262,4,8,4.12
263,4,9,-0.59
264,4,10,2.06
265,4,11,2.17
266,4,12,4.1
267,4,13,2.31
268,4,14,1.33
269,4,15,1.57
270,4,16,0
271,4,17,1.03
272,4,18,1.4
273,4,19,2.39
274,4,20,1.23
275,4,21,0.36
276,4,22,0.36
277,4,23,0.24
278,4,24,-0.12
279,4,25,0.96
280,4,26,1.91
281,4,27,2.11
282,4,28,1.15
283,4,29,2.38
284,4,30,1.77
285,4,31,1.96
286,4,32,-1.07
287,4,33,3.78
288,4,34,1.35
289,4,35,2.05
290,4,36,0.6
291,4,37,1.2
292,4,38,0.79
293,4,39,0.69
294,4,40,-0.1
295,4,41,2.04
296,4,42,2.1
297,4,43,2.34
298,4,44,1.64
299,4,45,2.7
300,4,46,0.96
301,4,47,1.65
302,4,48,0.43
303,4,49,0.42
304,4,50,1.86
305,4,51,0.25
306,4,52,0.08
307,4,53,1.16
308,4,54,1.23
309,4,55,0.57
310,4,56,1.04
311,4,57,1.59
312,4,58,1.25
313,4,59,1.55
314,4,60,0.68
315,4,61,0.98
316,4,62,1.42
317,4,63,1.62
318,4,64,2.83
319,4,65,0.99
320,4,66,1.75
321,4,67,1.72
